epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,137.738,1.23673,3.4529,2.50046,1.51336,0.48594,0.32794,0.30051,0.16614,0.41735,0.26688,0.21763,0.09827,1.48852,3.26905,2.79424,1.76739,0.00332099,0.00332099,0.00332099
2,270.548,1.19097,2.82879,1.96341,1.4562,0.38857,0.31175,0.23251,0.1277,0.33818,0.26642,0.17239,0.08102,1.55412,3.3416,2.74259,1.78966,0.00664115,0.00664115,0.00664115
3,401.962,1.24595,2.87553,1.85872,1.50556,0.38258,0.30019,0.22293,0.10276,0.28327,0.23636,0.13441,0.04811,1.75176,3.51566,2.62628,2.2032,0.0099481,0.0099481,0.0099481
4,533.474,1.31437,2.99757,1.85212,1.55093,0.44726,0.32599,0.27998,0.13064,0.37959,0.26133,0.19981,0.08437,1.79453,3.82717,2.40292,2.02345,0.0099406,0.0099406,0.0099406
5,664.447,1.30156,2.8987,1.72594,1.53725,0.49157,0.33719,0.334,0.16944,0.47665,0.27891,0.26719,0.12411,1.7262,3.22358,2.2859,1.90328,0.0099208,0.0099208,0.0099208
6,795.486,1.26421,2.78064,1.65788,1.50728,0.58224,0.37604,0.3688,0.19439,0.4713,0.29769,0.2477,0.10786,1.65899,3.69818,2.24363,1.86922,0.009901,0.009901,0.009901
7,926.048,1.22214,2.63281,1.57465,1.47047,0.52161,0.35708,0.33465,0.1726,0.4189,0.2803,0.22415,0.09119,1.6631,3.48434,2.44866,1.86051,0.0098812,0.0098812,0.0098812
8,1056.86,1.20824,2.59682,1.55369,1.46563,0.56629,0.38714,0.39304,0.21528,0.49184,0.33083,0.30142,0.14623,1.56517,2.878,2.14596,1.74403,0.0098614,0.0098614,0.0098614
9,1187.73,1.20396,2.53622,1.49901,1.46029,0.60342,0.38344,0.40097,0.23078,0.52655,0.33349,0.31418,0.15809,1.54951,3.00795,2.13012,1.74569,0.0098416,0.0098416,0.0098416
10,1318.73,1.16563,2.46028,1.44782,1.42772,0.58813,0.38853,0.39976,0.24173,0.50681,0.33904,0.30772,0.14671,1.48119,2.84037,2.17506,1.75886,0.0098218,0.0098218,0.0098218
